"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_rank","country_rank","channel_type_rank","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude"
"862",862,"theRadBrad",16.403274593192,22.52334109463,"Gaming","theRadBrad",8195,"USA","US","Games",1038,167,63,16.5687890316696,8.26873183211774,11.0477103524563,10.7600282800045,13.5322188338138,349153.834094369,2006,"Nov",27,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"863",863,"Matt Steffanina",16.403274593192,21.9169508836002,"Entertainment","Matt Steffanina",331,"USA","US","Entertainment",14275,692,694,14.4725122918879,6.1779441140506,8.94897560784178,8.66561319653451,11.4360444206343,349153.834094369,2007,"Nov",28,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"864",864,"Stray Kids",16.403274593192,21.9364650924651,"People & Blogs","straykids",3,"nan","nan","Comedy",4057875,-1,4896,0.693147180559945,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.30258509299405,1,2007,"Mar",17,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"865",865,"Kurt Hugo Schneider",16.403274593192,22.0407075497833,"Entertainment","Kurt Hugo Schneider",698,"USA","US","Entertainment",2110,167,163,15.2584215195031,7.00306545878646,9.73506890091116,9.44935727244668,12.2219459946865,349153.834094369,2007,"Oct",16,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"866",866,"Vogue",16.403274593192,22.1529031892425,"Entertainment","Vogue",3166,"USA","US","People",1789,167,54,17.6242819335819,9.33255800470043,12.1029318866107,11.8152498141589,14.6039679183285,1e+05,2008,"Jun",29,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"867",867,"ýýýýýýýýýýýýýýýýýý",16.403274593192,22.5924009557931,"People & Blogs","ýýýýýýýýýýýýýýýýýý",608,"Russia","RU","Entertainment",927,13,163,18.3179944272129,10.0257051852604,12.796633237315,12.5087664756024,15.2741255806638,1e+05,2015,"Oct",4,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"868",868,"Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",16.403274593192,22.930282537022,"People & Blogs","Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",2742,"USA","US","Education",524,166,41,18.9024214731648,10.6090572530946,13.3810285007856,13.0933464283338,15.8696342916598,1e+05,2011,"Nov",26,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"869",869,"VexTrex",16.403274593192,22.7931495039433,"Entertainment","VexTrex",2411,"Ukraine","UA","Entertainment",669,5,163,19.7539592753406,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,349153.834094369,2014,"Sep",8,82.7,17.6084156246492,8.88,2.84747490605085,48.379433,31.16558
"870",870,"penguinz0",16.403274593192,22.7739919602952,"Gaming","penguinz0",4613,"USA","US","Entertainment",689,166,162,19.056982402893,10.7621491715736,13.5355320698975,13.2477617867987,16.0237849714871,2e+05,2007,"May",7,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"871",871,"Just For Laughs Gags",16.403274593192,22.7256412113246,"Comedy","Just For Laughs Gags",6916,"USA","US","Comedy",764,167,38,16.6758811935876,8.38935981990635,11.1548209282219,10.8666618703091,13.6393698602454,1e+05,2007,"Jan",14,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"872",872,"Kabita's Kitchen",16.403274593192,21.7639931548372,"Howto & Style","Kabita's Kitchen",1489,"India","IN","Howto",3123,117,32,17.5794511013001,9.28730141311231,12.0581525154536,11.7706636610489,14.5574479026937,349153.834094369,2014,"Oct",7,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"873",873,"BanderitaX",16.403274593192,22.1413614876932,"Gaming","BanderitaX",1640,"Saudi Arabia","SA","Games",1818,7,63,18.0741258477229,9.78131991856192,12.5524952130046,12.2648131405528,15.0392859895864,2e+05,2013,"Aug",20,68,17.3497379399081,5.93,2.84352226295945,23.885942,45.079162
"874",874,"AzzyLand",16.403274593192,22.5814859741162,"Gaming","AzzyLand",1749,"Canada","CA","Entertainment",949,12,163,15.4994992016627,7.17011954344963,9.97580821411575,9.69276652122048,12.4630377453199,1e+05,2015,"May",8,68.9,17.4262117173895,5.56,2.84708381560522,56.130366,-106.346771
"875",875,"HUBAï¿½ï¿½",16.3957273875566,23.0142727708926,"Entertainment","HUBAï¿½ï¿½",538,"USA","US","Entertainment",454,167,163,19.5827278198678,11.2885311317544,14.0778748224318,13.7735420731418,16.5433633863627,5e+05,2021,"Feb",20,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"876",876,"BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",16.3957273875566,20.8616546631158,"Entertainment","BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",192,"Russia","RU","Entertainment",9855,13,163,15.9867333327615,7.69621263934641,10.465956409454,10.1773242181659,12.9501505547587,2e+05,2019,"Jan",10,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"877",877,"Brawl Stars",16.3957273875566,21.4344535039282,"Gaming","Brawl Stars",172,"Finland","FI","Games",4846,1,64,16.8295246951963,8.53699581871242,11.308358299229,11.0202671451597,13.7929581534938,349153.834094369,2017,"Apr",28,88.2,15.5239453006934,6.59,2.73220021565627,61.92411,25.748151
"878",878,"Ei Nerd",16.3957273875566,21.9953809735934,"Entertainment","Einerd",0,"nan","nan","Games",4057944,-1,7399,18.9869778094495,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,349153.834094369,2007,"Nov",19,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"879",879,"Sonotek Bhakti",16.3957273875566,22.0555622541463,"Entertainment","Sonotek Bhakti",8019,"India","IN","Music",2063,118,142,17.0471446489311,8.74830491237962,11.5258416902368,11.2384886192685,13.9978321147582,349153.834094369,2010,"Dec",27,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"880",880,"Vilmei",16.3957273875566,22.159698237729,"nan","Vilmei",1324,"Indonesia","ID","People",1786,30,55,19.3926256477506,11.0989240258398,13.9108207377686,13.5834523892605,16.3571125514288,8e+05,2013,"Sep",25,36.3,19.4146874800544,4.69,2.93577844613103,-0.789275,113.921327
"881",881,"MC Divertida",16.3957273875566,22.376675651776,"Entertainment","MC Divertida",413,"Brazil","BR","Entertainment",1269,49,164,17.9824393129301,9.68657455097255,12.4611023857067,12.1735494538246,14.9469126694554,1e+05,2018,"Jan",17,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"882",882,"The Infographics Show",16.3957273875566,22.3840698128803,"Education","The Infographics Show",4279,"USA","US","Education",1252,168,42,17.7632867330982,9.47270463644367,12.2419222984239,11.9544010106014,14.7318012898384,1e+05,2011,"Feb",26,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"883",883,"jbalvinVEVO",16.3957273875566,23.7555029563783,"Music","jbalvinVEVO",237,"Colombia","CO","Music",113,10,142,18.2729924710528,9.98044859367226,12.7515895090861,12.4638108416089,15.2264975316745,349153.834094369,2010,"Sep",30,55.3,17.7342994828506,9.71,2.86362053458697,4.570868,-74.297333
"884",884,"ýýýýýýTwinsFromRussia",16.3957273875566,22.9616510825398,"People & Blogs","ýýýýýýTwinsFromRussia",6888,"USA","US","People",503,168,55,18.5978976273756,10.3022636724935,13.0765288410605,12.7888467686087,15.5559767328048,3e+05,2011,"May",16,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
